state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
CA,California,city,Core,San Diego,1404452,32.71571,-117.16472,/{segment}/ca/san-diego/,pop>=50k;top10-in-state
CA,California,city,Core,San Jose,997368,37.33939,-121.89496,/{segment}/ca/san-jose/,pop>=50k;top10-in-state
CA,California,city,Core,San Francisco,827526,37.77493,-122.41942,/{segment}/ca/san-francisco/,pop>=50k;top10-in-state
CA,California,city,Core,Fresno,542107,36.74773,-119.77237,/{segment}/ca/fresno/,pop>=50k;top10-in-state
CA,California,city,Core,Sacramento,524943,38.58157,-121.4944,/{segment}/ca/sacramento/,pop>=50k;top10-in-state
CA,California,city,Core,Long Beach,474140,33.76696,-118.18923,/{segment}/ca/long-beach/,pop>=50k;top10-in-state
CA,California,city,Core,Oakland,419267,37.80437,-122.2708,/{segment}/ca/oakland/,pop>=50k;top10-in-state
CA,California,city,Core,Bakersfield,373640,35.37329,-119.01871,/{segment}/ca/bakersfield/,pop>=50k;top10-in-state
CA,California,city,Core,Anaheim,350742,33.83529,-117.9145,/{segment}/ca/anaheim/,pop>=50k;top10-in-state
CA,California,city,Core,Riverside,317261,33.95335,-117.39616,/{segment}/ca/riverside/,pop>=50k
CA,California,city,Core,Santa Ana,310227,33.74557,-117.86783,/{segment}/ca/santa-ana/,pop>=50k
CA,California,city,Core,Stockton,305658,37.9577,-121.29078,/{segment}/ca/stockton/,pop>=50k
CA,California,city,Core,Chula Vista,265757,32.64005,-117.0842,/{segment}/ca/chula-vista/,pop>=50k
CA,California,city,Core,Irvine,256927,33.66946,-117.82311,/{segment}/ca/irvine/,pop>=50k
CA,California,city,Core,Fremont,232206,37.54827,-121.98857,/{segment}/ca/fremont/,pop>=50k
CA,California,city,Core,San Bernardino,216108,34.10834,-117.28977,/{segment}/ca/san-bernardino/,pop>=50k
CA,California,city,Core,Fontana,212704,34.09223,-117.43505,/{segment}/ca/fontana/,pop>=50k
CA,California,city,Core,Modesto,211266,37.6391,-120.99688,/{segment}/ca/modesto/,pop>=50k
CA,California,city,Core,Oxnard,207254,34.1975,-119.17705,/{segment}/ca/oxnard/,pop>=50k
CA,California,city,Core,Moreno Valley,204198,33.93752,-117.23059,/{segment}/ca/moreno-valley/,pop>=50k
CA,California,city,Core,Huntington Beach,201899,33.6603,-117.99923,/{segment}/ca/huntington-beach/,pop>=50k
CA,California,city,Core,Glendale,201020,34.14251,-118.25508,/{segment}/ca/glendale/,pop>=50k
CA,California,city,Core,Santa Clarita,182371,34.39166,-118.54259,/{segment}/ca/santa-clarita/,pop>=50k
CA,California,city,Core,Santa Rosa,178127,38.44047,-122.71443,/{segment}/ca/santa-rosa/,pop>=50k
CA,California,city,Core,Oceanside,175691,33.19587,-117.37948,/{segment}/ca/oceanside/,pop>=50k
CA,California,city,Core,Garden Grove,175393,33.77391,-117.94145,/{segment}/ca/garden-grove/,pop>=50k
CA,California,city,Core,Rancho Cucamonga,175236,34.1064,-117.59311,/{segment}/ca/rancho-cucamonga/,pop>=50k
CA,California,city,Core,Ontario,171214,34.06334,-117.65089,/{segment}/ca/ontario/,pop>=50k
CA,California,city,Core,Hollywood,167664,34.09834,-118.32674,/{segment}/ca/hollywood/,pop>=50k
CA,California,city,Core,Elk Grove,166913,38.4088,-121.37162,/{segment}/ca/elk-grove/,pop>=50k
CA,California,city,Core,Corona,164226,33.87529,-117.56644,/{segment}/ca/corona/,pop>=50k
